country	state_province	city	address	postcode	latitude	longitude
Canada	Alberta	Calgary	100 Walden Gate	T2X 0P3	50.875809	-114.035691
Canada	Alberta	Calgary	10125 19th St Ne	T3J 3P9	51.140907	-114.013292
Canada	Alberta	Calgary	1015 4th St Sw	T2R 1J4	51.042945	-114.071696
Canada	Alberta	Calgary	102-255 Sage Vally Common Nw	T3R 1T8	51.18138	-114.158128
Canada	Alberta	Calgary	10810 50th St Se	T2C 3E6	50.9566573	-113.9616057
Canada	Alberta	Calgary	#110-15 Sage Hill Plaza	T3R 0S4	51.16924288	-114.1484197
Canada	Alberta	Calgary	"1110 Panatella Blvd Nw, Unit 430"	T3K 0S6	51.1670454	-114.089686
Canada	Alberta	Calgary	11472 Braeside Dr Sw	T2W 4X8	50.954097	-114.117069
Canada	Alberta	Calgary	"11488 24th Street Se, Unit 400"	T2Z 4C9	50.954179	-114.000324
Canada	Alberta	Calgary	115-5029 Nosehill Dr Nw	T3L 0A2	51.1070589	-114.2432769
Canada	Alberta	Calgary	117 1323 Centre St North	T2E 2R5	51.074594	-114.062544
Canada	Alberta	Calgary	1185 49th Ave Ne	T2E 8V2	51.097351	-114.03455
Canada	Alberta	Calgary	1211 12th Ave Sw	T3C 3S7	51.0421667	-114.0895651
Canada	Alberta	Calgary	12580 Symons Valley Rd Nw	T3P 0A3	51.1668095	-114.1294326
Canada	Alberta	Calgary	1301 16th Ave Nw	T2M 0L4	51.06667	-114.089778
Canada	Alberta	Calgary	1301 16th Ave Nw	T2M 0L4	51.06667	-114.089778
Canada	Alberta	Calgary	1301 16th Ave Nw - Cenovus Bldg	T2M 0L4	51.06667	-114.089778
Canada	Alberta	Calgary	1341 32nd Ave Ne	T2E 7Z5	51.0814167	-114.0254592
Canada	Alberta	Calgary	13615 Bonaventure Dr	T2J 6W5	50.930802	-114.06294
Canada	Alberta	Calgary	"1440 52nd St Ne, Unit 550"	T2A 4T8	51.063339	-113.958074
Canada	Alberta	Calgary	"151 Copperpond Blvd Se, Unit 201"	T2Z 0Z7	50.923472	-113.93206
Canada	Alberta	Calgary	1510-7 Mahogany Plaza Se	T2M 0T7	50.89763359	-113.9404646
Canada	Alberta	Calgary	15150 Mount Mckenzie Dr Se	T2Z 2L4	50.9168504	-113.980886
Canada	Alberta	Calgary	152 5303 68th Ave	T2P 3K4	51.056508	-114.033822
Canada	Alberta	Calgary	"15425 Bannister Rd, Unit 30"	T2X 3E9	50.91479595	-114.0671654
Canada	Alberta	Calgary	1632 14th Ave Nw	T2N 1M7	51.0659723	-114.1018931
Canada	Alberta	Calgary	1715 70 Street Se	T1X 0L4	50.96951441	-113.9323981
Canada	Alberta	Calgary	1820b Uxbridge Rd Nw	T2N 3Z1	51.06905625	-114.1282565
Canada	Alberta	Calgary	"200-10233 Elbow Dr Sw, Unit 200"	T2W 1E8	50.96204013	-114.0849026
Canada	Alberta	Calgary	2000 Airport Road Ne	T2E 6W5	51.131816	-114.010983
Canada	Alberta	Calgary	"2016 Airport Road Ne, #201ac"	T2E 6W5	51.13409468	-114.0017026
Canada	Alberta	Calgary	2021 Pegasus Rd Ne	T2E 8C3	51.093977	-114.011347
Canada	Alberta	Calgary	2045 Symons Valley Parkway	T3P 0Y2	51.17175235	-114.1091756
Canada	Alberta	Calgary	222 205 5th Ave Sw	T2P 2V7	51.0484794	-114.06615
Canada	Alberta	Calgary	"225 7th Ave Sw, Unit 165"	T2P 2W3	51.046171	-114.066948
Canada	Alberta	Calgary	2335 162nd Ave Sw	T2Y 4S6	50.9053614	-114.1118095
Canada	Alberta	Calgary	240 16th Ave Ne	T2E 1J8	51.067103	-114.057717
Canada	Alberta	Calgary	"240 4 Ave Sw, 229"	T2P 4H4	51.04995355	-114.0671152
Canada	Alberta	Calgary	2443 54th Avenue Sw	T3E 1M8	51.005013	-114.107839
Canada	Alberta	Calgary	2520 52 St Ne	T1Y 3R5	51.0745321	-113.957825
Canada	Alberta	Calgary	"25238 Twp Rd 254a, 254a"	T3L 2P9	51.1550515	-114.2786312
Canada	Alberta	Calgary	2525 Woodview Dr Sw	T2W 4N4	50.9402891	-114.1199216
Canada	Alberta	Calgary	255 East Hills Blvd Se	T2A 4X7	51.0382967	-113.9117387
Canada	Alberta	Calgary	2550 Country Hills Blvd	T3N 1A6	51.15476565	-113.9998348
Canada	Alberta	Calgary	2616 39th Ave Ne	T1Y 7J9	51.0887059	-113.9990143
Canada	Alberta	Calgary	2681 Sunridge Way Ne	T1Y 7K7	51.072687	-114.000566
Canada	Alberta	Calgary	"303 Shawville Blvd Se, Unit 400"	T2Y 2Z3	50.9001931	-114.0637146
Canada	Alberta	Calgary	3134 Hospital Dr Nw	T2N 5A1	51.06284449	-114.1343549
Canada	Alberta	Calgary	332 6 Ave Se	T2G 4S6	51.04778815	-114.0561676
Canada	Alberta	Calgary	345 6th Ave Se	T2G 4V1	51.04711	-114.056209
Canada	Alberta	Calgary	347 Southland Dr	T2J 3L4	50.963891	-114.059076
Canada	Alberta	Calgary	35 Sage Hill Gate Nw	T3R 0S4	51.1690447	-114.14204
Canada	Alberta	Calgary	"3508 32nd Ave Ne, Unit 500"	T1H 6J7	49.7084	-112.8127
Canada	Alberta	Calgary	3508 37th St Sw	T3E 7B1	51.021742	-114.140897
Canada	Alberta	Calgary	3525 26th Ave Se	T2B 3M9	51.030393	-113.984026
Canada	Alberta	Calgary	3550 52 St Ne	T1Y 6H1	51.08535	-113.958114
Canada	Alberta	Calgary	3580 20 Ave Ne	T1Y 6E8	51.0711764	-113.9863399
Canada	Alberta	Calgary	"3619 61st Ave Se, Unit 4000"	T2C 4T8	50.998813	-113.981986
Canada	Alberta	Calgary	3625 Shaganappi Trail Nw	T3A 0E2	51.08468645	-114.1553522
Canada	Alberta	Calgary	"3660 Westwinds Dr Ne, #101"	T3J 5H3	51.1087616	-113.9719388
Canada	Alberta	Calgary	"3800 Memorial Dr Ne, Unit 1223"	T2A 2K2	51.052669	-113.979301
Canada	Alberta	Calgary	3840 Macleod Trail Se	T2G 2R2	51.020184	-114.061302
Canada	Alberta	Calgary	3955 17th Ave Sw	T3E 0C3	51.037668	-114.145118
Canada	Alberta	Calgary	40 Midlake Blvd Se	T2X 1J1	50.91300451	-114.0503305
Canada	Alberta	Calgary	"#400, 12100 Macleod Trail Se Avenida Place Shopping Centre, Unit 400"	T2J 7G9	50.945595	-114.070239
Canada	Alberta	Calgary	401 9th Ave Sw	T2P 3C5	51.044248	-114.07047
Canada	Alberta	Calgary	4015 Centre St N	T2E 2Y4	51.0881417	-114.0624532
Canada	Alberta	Calgary	402 Collegiate Blvd Nw	T1Y 3R5	51.078499	-114.132028
Canada	Alberta	Calgary	402 Collegiate Blvd NW	T1Y 3R5	51.078499	-114.132028
Canada	Alberta	Calgary	"4307 130th Ave Se, Unit 5"	T2Z 3V8	50.931442	-113.969021
Canada	Alberta	Calgary	444 58th Ave Se	T2H 0P4	51.00156	-114.054427
Canada	Alberta	Calgary	"444 5th Ave Sw, Unit 101"	T2P 2T8	51.048741	-114.071153
Canada	Alberta	Calgary	4448 Front St	T3M 1M4	50.88224515	-113.9526766
Canada	Alberta	Calgary	45 Everridge Dr Sw	T2Y 4R5	50.920994	-114.123549
Canada	Alberta	Calgary	4705 16th Ave Nw	T2A 0S5	51.0377	-113.9783
Canada	Alberta	Calgary	4750 17th Ave Se	T2A 0V1	51.0377447	-113.9654736
Canada	Alberta	Calgary	4825 Mount Royal Gate Sw	T3K 6K6	51.0137912	-114.1326211
Canada	Alberta	Calgary	"4949 Barlow Trail Se Unit 2, #2"	T2B 3B5	51.0108707	-114.0038292
Canada	Alberta	Calgary	500 Centre St Se	T2G 1A6	51.047974	-114.061412
Canada	Alberta	Calgary	"500 Country Hills Blvd Ne, Unit 900"	T3K 4Y7	51.15542135	-114.0574651
